Term name,Parent Term Name,Term description,GUID,Parent GUID
Julus walckenaerii,,,efe39a37-ac8e-11e3-805d-020044200006,e31265f0-ac8e-11e3-805d-020044200006
Allopauropus pulcher,,,efe0548c-ac8e-11e3-805d-020044200006,e3439109-ac8e-11e3-805d-020044200006
Tarmadesmus,,,e353a786-ac8e-11e3-805d-020044200006,e2af4f42-ac8e-11e3-805d-020044200006
Polydesmus sagittarius,,,efe302a5-ac8e-11e3-805d-020044200006,e342ca96-ac8e-11e3-805d-020044200006
Papuosoma,,,e34fc9c6-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Lithobius (Lithobius) scotophilus,,,eda990a3-ac8e-11e3-805d-020044200006,800f9f4b-fe84-409c-8729-d229c1b550a6
Julus vieirae,,,efe398ec-ac8e-11e3-805d-020044200006,e31265f0-ac8e-11e3-805d-020044200006
Cryptops Cryptops heathi,,"Cited as Cryptops (Cryptops) heathii (sic) by Attems (1930 - Tierreich, 54: 224)",eda74f52-ac8e-11e3-805d-020044200006,48831492-794a-4953-b38a-2384ba3e7484
Synoptura,,,e34ffe7a-ac8e-11e3-805d-020044200006,e2af4f42-ac8e-11e3-805d-020044200006
Polydesmus rugulosus,,,efcf2500-ac8e-11e3-805d-020044200006,e342ca96-ac8e-11e3-805d-020044200006
Pagioprium,,,e34f87cd-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Lithobius (Lithobius) schuleri,,,eda98e10-ac8e-11e3-805d-020044200006,800f9f4b-fe84-409c-8729-d229c1b550a6
Julus vermiformis,,,efc833dc-ac8e-11e3-805d-020044200006,e31265f0-ac8e-11e3-805d-020044200006
Cryptops Cryptops furciferens,,,edb07c0f-ac8e-11e3-805d-020044200006,48831492-794a-4953-b38a-2384ba3e7484
Allopauropus pseudomahafalus,,,effc6d61-ac8e-11e3-805d-020044200006,e3439109-ac8e-11e3-805d-020044200006
Styraxodesmus,,,e348b699-ac8e-11e3-805d-020044200006,e2af4f42-ac8e-11e3-805d-020044200006
Polydesmus rubescens,,,f009508c-ac8e-11e3-805d-020044200006,e342ca96-ac8e-11e3-805d-020044200006
Otoplacosoma,,,e355d675-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Lithobius (Lithobius) schubarti,,,eda98cbe-ac8e-11e3-805d-020044200006,800f9f4b-fe84-409c-8729-d229c1b550a6
Julus validus,,,efed9508-ac8e-11e3-805d-020044200006,e31265f0-ac8e-11e3-805d-020044200006
Allopauropus proximus,,,effc6ab4-ac8e-11e3-805d-020044200006,e3439109-ac8e-11e3-805d-020044200006
Stylopaulicea,,,e3551082-ac8e-11e3-805d-020044200006,e2af4f42-ac8e-11e3-805d-020044200006
